Место,Ф.И.,,Дата рождения,Разряд,Команда,"ДСО, ведомство",Соб. вес,Толчок,Место,Рывок,,Место,Сумма       дв-рья,Ком. Очки,Вып. разряд,ФИО тренера(тренеров),,Вид,в/к,Год,Соревнования 
1,Бенидзе Джони,,1990,ЗМС,Санкт-Петербург,ВС,62.95,145,1,144,72,3,217,20,МСМК,"Кириллов С.А., Огарев В.Я.",,Двоеборье,63,2017,Чемпионат России
2,Рябков Алексей,,1993,МСМК,Тюменская область,ВС,63,127,2,146,73,2,200,18,МСМК,"Мартьянов А.В., Алтухов Д.В.",,Двоеборье,63,2017,Чемпионат России
3,Бутенко Евгений,,1995,МСМК,Новосибирская область,НЦВСМ,62.75,117,3,148,74,1,191,16,МСМК,Бутенко А.А.,,Двоеборье,63,2017,Чемпионат России
4,Гаджимутелимов Гаджимирза,,1995,МСМК,Калужская область,,63,103,4,121,60.5,6,163.5,15,МСМК,Трофимов М.А.,,Двоеборье,63,2017,Чемпионат России
5,Егоров Валентин,,1985,МСМК,Ярославская оласть,,62.9,89,5,128,64,4,153,14,МСМК,Гоголев М.Н.,,Двоеборье,63,2017,Чемпионат России
6,Бежко Павел,,1985,МС,республика Крым,,62.85,56,10,124,62,5,118,13,МСМК,"Верещагин С.И., Трофимов М.А.",,Двоеборье,63,2017,Чемпионат России
7,Айдбаев Ильфат,,1989,МС,Тюменская область,,63,70,7,95,47.5,8,117.5,12,МСМК,Колмаков С.И.,,Двоеборье,63,2017,Чемпионат России
8,Дереглазов Семен,,1997,КМС,Томская область,,61.95,56,9,110,55,7,111,11,+МС,"Ажермачев А.Б., Чепуштанов И.В.",,Двоеборье,63,2017,Чемпионат России
9,Симушин Андрей,,1990,МС,Челябинская область,ВС,62.45,74,6,73,36.5,10,110.5,10,МСМК,"Денисов И.Н., Лихачев В.А.",,Двоеборье,63,2017,Чемпионат России
10,Дымов Дмитрий,,1999,КМС,Томская область,,61.15,60,8,86,43,9,103,9,+МС,Иванов Д.С.,,Двоеборье,63,2017,Чемпионат России
11,Ховалко Василий,,1993,КМС,Омская область,,62.65,52,11,59,29.5,11,81.5,8,МСМК,"Анасенко А.В., Донских А.И.",,Двоеборье,63,2017,Чемпионат России
1,Сутягин Валетин,,1992,МСМК,Томская область,,68,134,1,148,74,4,208,20,МСМК,"Полянский В.С., Чепуштанов И.В.",,Двоеборье,68,2017,Чемпионат России
2,Мартыневич Иван,,1986,МСМК,Омская область,,68,133,2,147,73.5,5,206.5,18,МСМК,Елисеев В.С.,,Двоеборье,68,2017,Чемпионат России
3,Щербин Олег,,1989,МСМК,Санк-Петербург,ВС,67.55,113,3,171,85.5,2,198.5,16,МСМК,Кириллов С.А.,,Двоеборье,68,2017,Чемпионат России
4,Усольцев Александр,,1992,МСМК,Тюменская область,,67.7,97,5,164,82,3,179,15,МСМК,"Ефимов А.В., Бутыч В.В.",,Двоеборье,68,2017,Чемпионат России
5,Кузнецов Данила,,1996,МС,г.Москва,Динамо,67.85,109,4,131,65.5,6,174.5,14,МСМК,Шаповалов Е.Г.,,Двоеборье,68,2017,Чемпионат России
6,Панов Алексей,,1991,МС,Томская область,,68,72,9,175,87.5,1,159.5,13,МСМК,Денисенко А.В.,,Двоеборье,68,2017,Чемпионат России
7,Алексанян Давид,,2001,МС,Калужская область,"СШ""Маршал""",67.7,92,6,97,48.5,7,140.5,12,МСМК,Пянко И.А.,,Двоеборье,68,2017,Чемпионат России
8,Петровичев Дмитрий,,1978,КМС,республика Татарстан,,66.65,89,7,82,41,8,130,11,+МС,Шакиров Ж.В.,,Двоеборье,68,2017,Чемпионат России
9,Белошапкин Максим,,2000,КМС,Кемеровская область,,67.2,85,8,73,36.5,10,121.5,10,+МС,Позняковский С.М.,,Двоеборье,68,2017,Чемпионат России
10,Платонов Семен,,1992,МС,Алтайский край,Урожай,67.8,38,10,79,39.5,9,77.5,9,МСМК,"Шевелев Д.В., Платонов С.Г.",,Двоеборье,68,2017,Чемпионат России
1,Смирнов Владимир,,1999,МСМК,Калужская область,,71.2,144,1,180,90,2,234,20,МСМК,Трофимов М.А.,,Двоеборье,73,2017,Чемпионат России
2,Хвостов Александр,,1982,ЗМС,Санкт-Петербург,ВС,73,128,2,169,84.5,3,212.5,18,МСМК,"Чмыхало Н.А., Руднев С.А.",,Двоеборье,73,2017,Чемпионат России
3,Баев Константин,,1993,МСМК,Алтайский край,"СК ""Союз""",73,117,3,186,93,1,210,16,МСМК,"Щеков И.Г., Анасенко А.В.",,Двоеборье,73,2017,Чемпионат России
4,Нестеренко Николай,,1984,МС,Ярославская область,,72.75,107,4,166,83,4,190,15,МСМК,Егоров В.В.,,Двоеборье,73,2017,Чемпионат России
5,Волосач Александр,,1993,МС,Томская область,,72.9,100,5,146,73,6,173,14,МСМК,Полянский В.С.,,Двоеборье,73,2017,Чемпионат России
6,Королев Роман,,1996,МС,Томская область,,72.35,88,7,152,76,5,164,13,МСМК,"Бажин А.М, Ажермачев А.Б.",,Двоеборье,73,2017,Чемпионат России
7,Шаповалов Евгений,,1979,МСМК,г.Москва,Динамо,70.4,99,6,112,56,9,155,12,МСМК,Кадиров Н.Н.,,Двоеборье,73,2017,Чемпионат России
8,Каргин Сергей,,1998,МСМК,республика Бурятия,,69.95,79,8,118,59,8,138,11,МСМК,Каргин Я.Л.,,Двоеборье,73,2017,Чемпионат России
9,Никитин Геннадий,,1984,МС,Курганская область,,71.65,73,9,130,65,7,138,10,МСМК,Стрекаловских С.К.,,Двоеборье,73,2017,Чемпионат России
1,Квашнин Михаил,,1988,МСМК,Свердловская область,,78,151,1,186,93,2,244,20,МСМК,"Хвостов А.В., Чагаев А.Е.",,Двоеборье,78,2017,Чемпионат России
2,Павлов Валерий,,1987,МСМК,Томская область,,77.7,127,2,176,88,4,215,18,МСМК,Ажермачев А.Б,,Двоеборье,78,2017,Чемпионат России
3,Иванов Алексей,,1995,МСМК,республика Чувашия,,77.95,117,4,187,93.5,1,210.5,16,МСМК,"Глинкин Б.Н., Петров М.В.",,Двоеборье,78,2017,Чемпионат России
4,Рассадин Андрей,,1989,МСМК,Бурятия-Тюмень,,76.85,121,3,173,86.5,6,207.5,15,МСМК,"Леонов С.Т., Евтушенко Е.Б., Барсуков А.П.",,Двоеборье,78,2017,Чемпионат России
5,Стрекаловских Николай,,1993,МС,Курганская область,,76.55,99,8,174,87,5,186,14,МСМК,Стрекаловских С.К.,,Двоеборье,78,2017,Чемпионат России
6,Черкашин Иван,,1999,МС,Томская область,,77.3,98,9,170,85,7,183,13,МСМК,Тимофеев Н.А.,,Двоеборье,78,2017,Чемпионат России
7,Балдин Александр,,1993,МС,Самарская область,ВС,74.05,107,6,137,68.5,8,175.5,12,МСМК,Ковалевский А.А.,,Двоеборье,78,2017,Чемпионат России
8,Кучеров Виктор,,1998,КМС,Омская область,ВС,77.6,104,7,122,61,10,165,11,+МС,"Переверзев Н.И., Хозей С.П.",,Двоеборье,78,2017,Чемпионат России
9,Никонов Анатолий,,1998,КМС,Тюменская область,ВС,77.8,110,5,84,42,14,152,10,+МС,"Даричев Е.Н., Толстов С.Б.",,Двоеборье,78,2017,Чемпионат России
10,Миронов Александр,,1987,МС,Челябинская область,ВС,77.2,94,11,112,56,11,150,9,МСМК,"Нестеренко Д.В., Денисов И.Н.",,Двоеборье,78,2017,Чемпионат России
11,Миронов Максим,,1993,КМС,Томская область,,77.85,96,10,107,53.5,12,149.5,8,+МС,Чепуштанов И.В,,Двоеборье,78,2017,Чемпионат России
12,Смирнов Алексей,,1984,МСМК,Калужская область,"СШ""Маршал""",76.8,54,13,179,89.5,3,143.5,7,МСМК,Трофимов М.А.,,Двоеборье,78,2017,Чемпионат России
13,Ермолаев Владислав,,1997,КМС,Томская область,,77.95,67,12,98,49,13,116,6,МСМК,"Денисенко А.В., Ажермачев А.Б.",,Двоеборье,78,2017,Чемпионат России
14,Крупенников Виталий,,1989,МС,Ярославская область,,77.9,46,14,130,65,9,111,5,МСМК,Егоров В.В.,,Двоеборье,78,2017,Чемпионат России
1,Анасенко Антон,,1979,ЗМС,ЯНАО,ВС,"84,75",136,3,196,98,1,234,20,МСМК,"Жилин А.В., Козленко В.Н.",,Двоеборье,85,2017,Чемпионат России
2,Ташланов Илья,,1987,МСМК,Челябинская область,ВС,"78,10",150,1,167,83.5,6,233.5,18,МСМК,Денисов И.Н.,,Двоеборье,85,2017,Чемпионат России
3,Черкашин Дмитрий,,1999,МС,Томская область,,"81,80",140,2,168,84,5,224,16,+МСМК,Тимофеев Н.А.,,Двоеборье,85,2017,Чемпионат России
4,Гафаров Денис,,1987,МСМК,Челябинская область,ВС,"84,90",119,7,189,94.5,2,213.5,15,МСМК,"Денисов И.Н., Дмитриев А.Г.",,Двоеборье,85,2017,Чемпионат России
5,Дубровин Дмитрий,,1976,МСМК,Санкт-Петербург,ВС,"84,15",132,5,161,80.5,8,212.5,14,МСМК,Кириллов С.А.,,Двоеборье,85,2017,Чемпионат России
