Место,Ф.И.,,Дата рождения,Разряд,Команда,"ДСО, ведомство",Соб. вес,Толчок,Ком. очки,Вып. разряд,ФИО тренера(тренеров),,Вид,в/к,Год,Соревнования 
1,Рябков Алексей,,1993,МСМК,Тюменская область,,63,73,20,МСМК,"Мартьянов А.В., Алтухов Д.В.",,ДЦ,63,2017,Чемпионат России
2,Гаджимутелимов Гаджимирза,,1995,МСМК,Калужская область,,63,71,18,МСМК,Трофимов М.А.,,ДЦ,63,2017,Чемпионат России
3,Бутенко Евгений,,1995,МСМК,Новосибирская область,,62.75,67,16,МСМК,Бутенко А.А.,,ДЦ,63,2017,Чемпионат России
4,Недорезов Василий,,1992,МСМК,респ. Бурятия,,63,63,15,МСМК,"Любимский С.А., Рассадин А.А., Барсуков А.П.",,ДЦ,63,2017,Чемпионат России
5,Симушин Андрей,,1990,МС,Челябинская область,,62.45,50,14,МС,"Денисов И.Н., Лихачев В.А.",,ДЦ,63,2017,Чемпионат России
6,Жбанов Алексей,,1986,МС,ХМАО-Югра,,63,50,13,МС,Барков А.П.,,ДЦ,63,2017,Чемпионат России
7,Назаров Тимофей,,1994,МС,Томская область,,62.75,46,12,МС,Коршунов С.Д.,,ДЦ,63,2017,Чемпионат России
8,Алексанов Кирилл,,1996,МС,Брянская область,,62.95,38,11,КМС,"Курохтин И.А., Склема Д.С.",,ДЦ,63,2017,Чемпионат России
1,Иванов Евгений,,1997,МСМК,Смоленская область,,67.4,74,20,МСМК,"Шванев В.Б., Мармазов С.В.",,ДЦ,68,2017,Чемпионат России
2,Усольцев Александр,,1992,МСМК,Тюменская область,,67.7,74,18,МСМК,"Ефимов А.В., Бутыч В.В.",,ДЦ,68,2017,Чемпионат России
3,Кобзарь Владимир,,1997,МСМК,Тюменская область,,67.85,72,16,МСМК,"Чеботарев Ю.Ю., Даричев Е.Н., Мартьянов А.В.",,ДЦ,68,2017,Чемпионат России
4,Сутягин Валентин,,1992,МСМК,Томская область,,68,68,15,МСМК,"Полянский В.С., Чепуштанов И.В.",,ДЦ,68,2017,Чемпионат России
5,Кузнецов Данила,,1996,МС,Москва,,67.85,63,14,МСМК,Шаповалов Е.Г.,,ДЦ,68,2017,Чемпионат России
6,Игитханян Руслан,,1995,МС,Санкт-Петербург,,67.95,62,13,МС,"Фадеев А.С., Семенов А.Н.",,ДЦ,68,2017,Чемпионат России
7,Панов Алексей,,1991,МС,Томская область,,68,55,12,МС,Денисенко А.В.,,ДЦ,68,2017,Чемпионат России
8,Алексанян Давид,,2001,МС,Калужская область,,67.7,52,11,МС,Пянко И.А.,,ДЦ,68,2017,Чемпионат России
9,Толстокора Олег,,1986,МС,Ростовская область,,67.55,51,10,МС,Добровольский А.С.,,ДЦ,68,2017,Чемпионат России
10,Крикунов Виталий,,1984,МС,ЯНАО,,67.45,49,9,МС,"Жилин А.В., Анасенко А.В.",,ДЦ,68,2017,Чемпионат России
11,Чокан Петр,,1991,МСМК,Брянская область,,68,45,8,МС,Гомонов В.Н.,,ДЦ,68,2017,Чемпионат России
12,Николаев Алексей,,1994,МС,Омская область,,67.1,31,7,,Анасенко А.В.,,ДЦ,68,2017,Чемпионат России
1,Беляев Иван,,1992,МСМК,Белгородская область,,72.4,84,20,МСМК,"Меркулин С.В., Власов А.П.",,ДЦ,73,2017,Чемпионат России
2,Смирнов Владимир,,1999,МСМК,Калужская область,,71.2,81,18,МСМК,Трофимов М.А.,,ДЦ,73,2017,Чемпионат России
3,Коляков Антон,,1997,МСМК,Санкт-Петербург,,73,68,16,МСМК,"Кириллов С.А., Коляков Е.В., Катаев И.В.",,ДЦ,73,2017,Чемпионат России
4,Сясин Максим,,1991,МС,Брянская область,,71.3,64,15,МС,"Курохтин И.А., Склема Д.С.",,ДЦ,73,2017,Чемпионат России
5,Шипицын Максим,,1990,МС,Тюменская область,,72.3,63,14,МС,"Даричев Е.Н., Толстов С.Б.",,ДЦ,73,2017,Чемпионат России
6,Шаповалов Евгений,,1979,МСМК,Москва,,70.4,55,13,МС,Кадиров Н.Н.,,ДЦ,73,2017,Чемпионат России
7,Королев Роман,,1996,МС,Томская область,,72.35,53,12,МС,"Бажин А.М., Ажемачев А.Б.",,ДЦ,73,2017,Чемпионат России
8,Проничев Егор,,1992,КМС,Томская область,,72.6,52,11,+МС,"Ажермачев А.Б., Штырев А.А., Беев Н.В.",,ДЦ,73,2017,Чемпионат России
9,Борисов Михаил,,1997,КМС,Томская область,,72.35,44,10,КМС,Ажермачев А.Б.,,ДЦ,73,2017,Чемпионат России
10,Мазиков Сергей,,1992,МС,Томская область,,70,40,9,,Бажин А.М.,,ДЦ,73,2017,Чемпионат России
1,Чуев Павел,,1997,МСМК,Белгородская область,,77.3,84,20,МСМК,Конев А.В.,,ДЦ,78,2017,Чемпионат России
2,Коломацкий Алексей,,1994,МСМК,Краснодарский край,,77.7,83,18,МСМК,"Сахаров В.В., Мащенко О.В.",,ДЦ,78,2017,Чемпионат России
3,Полянский Владимир,,1985,МСМК,Томская область,,78,81,16,МСМК,"Сидельников А.А., Ажермачев А.Б.",,ДЦ,78,2017,Чемпионат России
4,Селиверстов Семен,,1989,МС,Челябинская область,,77.7,79,15,МСМК,"Нестеренко Д.В., Ташланов И.С.",,ДЦ,78,2017,Чемпионат России
5,Черкашин Иван,,1999,МС,Томская область,,77.3,67,14,МС,Тимофеев Н.А.,,ДЦ,78,2017,Чемпионат России
6,Жижикин Алексей,,1975,МСМК,Брянская область,,78,66,13,МС,Гомонов В.Н.,,ДЦ,78,2017,Чемпионат России
7,Смирнов Алексей,,1984,МСМК,Калужская область,,76.8,63,12,МС,Трофимов М.А.,,ДЦ,78,2017,Чемпионат России
8,Фролов Василий,,1996,МС,Брянская область,,77.05,61,11,МС,"Курохтин И.А., Склема Д.С.",,ДЦ,78,2017,Чемпионат России
9,Карпов Николай,,1994,МС,Тюменская область,,77.9,59,10,МС,"Даричев Е.Н., Толстов С.Б.",,ДЦ,78,2017,Чемпионат России
10,Бабичев Максим,,1991,МС,Омская область,,76.4,56,9,МС,Анасенко А.В.,,ДЦ,78,2017,Чемпионат России
11,Дубков Артем,,1994,МС,Томская область,,77.8,56,8,МС,Ажермачев А.Б.,,ДЦ,78,2017,Чемпионат России
12,Стремедловский Виталий,,1991,МС,Красноярский край,,77.9,42,7,,Байкалов Л.И.,,ДЦ,78,2017,Чемпионат России
13,Музыкин Максим,,1987,МСМК,Санкт-Петербург,,77.65,37,6,,Чугаев Д.,,ДЦ,78,2017,Чемпионат России
1,Фещенко Владимир,,1998,МС,Москва,,84.3,81,20,МСМК,Шаповалов Е.Г.,,ДЦ,85,2017,Чемпионат России
2,Кулаков Иван,,1998,МСМК,Рязанская область,,84.55,78,18,МСМК,Шматов И.Б.,,ДЦ,85,2017,Чемпионат России
3,Клепиков Артем,,1998,МС,Кировская область,,84.4,78,16,МСМК,Малков Е.И.,,ДЦ,85,2017,Чемпионат России
